,ticker,date,close
13946657,TXN,2018-03-09,111.53
13946658,TXN,2018-03-12,111.63
13946659,TXN,2018-03-13,110.59
13946660,TXN,2018-03-14,109.97
13946661,TXN,2018-03-15,109.71
13946662,TXN,2018-03-16,109.97
13946663,TXN,2018-03-19,107.86
13946664,TXN,2018-03-20,109.46
13946665,TXN,2018-03-21,108.64
13946666,TXN,2018-03-22,103.9
13946667,TXN,2018-03-23,101.36
13946668,TXN,2018-03-26,106.6
13946669,TXN,2018-03-27,102.56
13950044,TXRH,2018-03-02,57.28
13950045,TXRH,2018-03-05,58.01
13950046,TXRH,2018-03-06,57.91
13950047,TXRH,2018-03-07,57.84
13950048,TXRH,2018-03-08,57.83
13950049,TXRH,2018-03-09,58.35
13950050,TXRH,2018-03-12,59.04
13950051,TXRH,2018-03-13,58.53
13950052,TXRH,2018-03-14,58.49
13950053,TXRH,2018-03-15,57.93
13950054,TXRH,2018-03-16,58.7
13950055,TXRH,2018-03-19,58.6
13950056,TXRH,2018-03-20,59.46
13950057,TXRH,2018-03-21,58.82
13950058,TXRH,2018-03-22,57.8
13950059,TXRH,2018-03-23,55.75
13950060,TXRH,2018-03-26,56.96
13950061,TXRH,2018-03-27,56.85
13958468,TXT,2018-03-02,57.66
13958469,TXT,2018-03-05,58.38
13958470,TXT,2018-03-06,58.59
13958471,TXT,2018-03-07,58.52
13958472,TXT,2018-03-08,59.05
13958473,TXT,2018-03-09,60.4
13958474,TXT,2018-03-12,59.0
13958475,TXT,2018-03-13,58.9
13958476,TXT,2018-03-14,59.09
13958477,TXT,2018-03-15,59.0
13958478,TXT,2018-03-16,58.83
13958479,TXT,2018-03-19,58.94
13958480,TXT,2018-03-20,59.12
13958481,TXT,2018-03-21,59.3
13958482,TXT,2018-03-22,57.55
13958483,TXT,2018-03-23,56.96
13958484,TXT,2018-03-26,58.3
13958485,TXT,2018-03-27,57.45
13974143,TYL,2018-03-02,207.09
13974144,TYL,2018-03-05,210.03
13974145,TYL,2018-03-06,211.88
13974146,TYL,2018-03-07,211.35
13974147,TYL,2018-03-08,211.11
13974148,TYL,2018-03-09,212.2
13974149,TYL,2018-03-12,208.6
13974150,TYL,2018-03-13,209.48
13974151,TYL,2018-03-14,209.25
13974152,TYL,2018-03-15,209.04
13974153,TYL,2018-03-16,208.68
13974154,TYL,2018-03-19,208.04
13974155,TYL,2018-03-20,212.4
13974156,TYL,2018-03-21,212.48
13974157,TYL,2018-03-22,210.05
13974158,TYL,2018-03-23,207.37
13974159,TYL,2018-03-26,210.31
13974160,TYL,2018-03-27,209.08
13976830,TYPE,2018-03-02,23.8
13976831,TYPE,2018-03-05,23.95
13976832,TYPE,2018-03-06,24.0
13976833,TYPE,2018-03-07,24.0
13976834,TYPE,2018-03-08,23.9
13976835,TYPE,2018-03-09,24.65
13976836,TYPE,2018-03-12,24.8
13976837,TYPE,2018-03-13,24.45
13976838,TYPE,2018-03-14,24.15
13976839,TYPE,2018-03-15,24.0
13976840,TYPE,2018-03-16,23.85
13976841,TYPE,2018-03-19,23.7
13976842,TYPE,2018-03-20,23.7
13976843,TYPE,2018-03-21,23.65
13976844,TYPE,2018-03-22,23.4
13976845,TYPE,2018-03-23,23.2
13976846,TYPE,2018-03-26,23.05
13976847,TYPE,2018-03-27,22.65
13980751,TZOO,2018-03-02,6.175
13980752,TZOO,2018-03-05,6.3
13980753,TZOO,2018-03-06,6.45
13980754,TZOO,2018-03-07,6.65
13980755,TZOO,2018-03-08,6.75
13980756,TZOO,2018-03-09,7.0
13980757,TZOO,2018-03-12,7.35
13980758,TZOO,2018-03-13,7.15
13980759,TZOO,2018-03-14,7.2154
13980760,TZOO,2018-03-15,7.2
13980761,TZOO,2018-03-16,7.15
